**************************************
      TENSILE TESTING ANALYSIS

Sample diameter: 0.505 inches

 Load   Length     Stress      Strain
 (lb)    (in)       (psi)     (in/in)
    0    2.000        0.00       0.000
 1650    2.002     8246.04       0.001
 3400    2.004    17008.81       0.002
 5200    2.006    26039.44       0.003
 6850    2.008    34336.15       0.004
 7750    2.010    38886.17       0.005
 8650    2.020    43617.91       0.010
 9300    2.040    47359.87       0.020
10100    2.080    52442.34       0.039
10400    2.120    55038.50       0.058
**************************************
